price,vat_included,year,mileage,location,url,make,name,supplier,VehicleType
1050000,,2015,700000,Москва,https://auto.ru/trailer/used/sale/schmitz_cargobull/spr/16677832-1d8c6253/,SCHMITZ_CARGOBULL,Schmitz Cargobull SPR,,ST_ONBOARD
1650000,,2006,,Омск,https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16520094-f00e109e/,SCHMITZ_CARGOBULL,Schmitz Cargobull SKO,,ST_REFRIGERATOR
830000,,2018,100000,Миасс,https://auto.ru/trailer/used/sale/chmzap/bortovie/16626890-14deb806/,CHMZAP,ЧМЗАП Бортовые,,ST_ONBOARD
420000,,2005,,Торжок,https://auto.ru/trailer/used/sale/schwarzmuller/schwarzmuller/16663092-0f4dbba3/,SCHWARZMULLER,Schwarzmuller Schwarzmuller,,ST_CURTAIN
550000,,2003,1000000,Краснодар,https://auto.ru/trailer/used/sale/maz/polupricep___refrijerator/16594538-0f51b7de/,MAZ,МАЗ Полуприцеп - рефрижератор,,ST_REFRIGERATOR
1380000,,2007,,Москва,https://auto.ru/trailer/used/sale/kogel/sv24/16620380-5bdb8ec5/,KOGEL,Kogel SV24,,ST_REFRIGERATOR
350000,,2007,85000,Самара,https://auto.ru/trailer/used/sale/nefaz/polupricep_bortovoy/16151960-5ccb7dae/,NEFAZ,НефАЗ П/п бортовой,,ST_ONBOARD
820000,,2008,450000,Москва,https://auto.ru/trailer/used/sale/krone/sdp_27/16656680-2228a123/,KRONE,Krone SDP 27,,ST_CURTAIN_ONBOARD
730000,,2003,700000,Москва,https://auto.ru/trailer/used/sale/krone/sdr_27/16661090-cfbfc80a/,KRONE,Krone SDR 27,,ST_REFRIGERATOR
1470000,,2015,670000,Набережные Челны,https://auto.ru/trailer/used/sale/kaessbohrer/cs/16647492-79447547/,KAESSBOHRER,Kassbohrer CS,,ST_CURTAIN_ONBOARD
750000,,2003,,Нижний Новгород,https://auto.ru/trailer/used/sale/krone/sdr_27/16291858-8dcb9f2a/,KRONE,Krone SDR 27,,ST_REFRIGERATOR
2350000,,2011,659000,Ростов-на-Дону,https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16559270-9a27dd55/,SCHMITZ_CARGOBULL,Schmitz Cargobull SKO,,ST_REFRIGERATOR
2691871,,2019,10,Челябинск,https://auto.ru/trailer/used/sale/kaessbohrer/domestic_eco/15790554-3a04cc67/,KAESSBOHRER,Kassbohrer Domestic Eco,,ST_CURTAIN
670000,,2007,,Санкт-Петербург,https://auto.ru/trailer/used/sale/kogel/sn24/16677240-3cb79952/,KOGEL,Kogel SN24,,ST_CURTAIN_ONBOARD
1800000,,2018,220000,Орёл,https://auto.ru/trailer/used/sale/kogel/s24/16672580-3434a83c/,KOGEL,Kogel S24,,ST_ONBOARD
625000,,2005,655000,Тольятти,https://auto.ru/trailer/used/sale/schmitz_cargobull/s01/16641608-63f6445b/,SCHMITZ_CARGOBULL,Schmitz Cargobull S01,,ST_CURTAIN
3190000,,2015,600000,Москва,https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16404736-91339da7/,SCHMITZ_CARGOBULL,Schmitz Cargobull SKO,,ST_REFRIGERATOR
1699999,,2008,,Хабаровск,https://auto.ru/trailer/used/sale/krone/sd/16318138-986679e9/,KRONE,Krone SD,,ST_REFRIGERATOR
1450000,,2015,600000,Москва,https://auto.ru/trailer/used/sale/schmitz_cargobull/scs/16005796-3667d5f5/,SCHMITZ_CARGOBULL,Schmitz Cargobull SCS,,ST_CURTAIN
1150000,,2002,,Воронеж,https://auto.ru/trailer/used/sale/chereau/csd3/16667018-cc080a77/,CHEREAU,Chereau CSD3,,ST_REFRIGERATOR
1230000,,2003,,Рудня,https://auto.ru/trailer/used/sale/chereau/csd3/16011433-fc8d721a/,CHEREAU,Chereau CSD3,,ST_REFRIGERATOR
250000,,2000,,Курск,https://auto.ru/trailer/used/sale/kamaz/gkb_8352/16604394-63ef79d3/,KAMAZ,КамАЗ ГКБ-8352,,ST_ONBOARD
800000,,2000,,Екатеринбург,https://auto.ru/trailer/used/sale/schmitz_cargobull/sw_24/15646832-111596df/,SCHMITZ_CARGOBULL,Schmitz Cargobull SW 24,,ST_REFRIGERATOR
580000,,2005,,Барнаул,https://auto.ru/trailer/used/sale/krone/sdp_27/16624104-64240d59/,KRONE,Krone SDP 27,,ST_CURTAIN
850000,,2007,,Череповец,https://auto.ru/trailer/used/sale/schmitz_cargobull/s01/16075576-41243a15/,SCHMITZ_CARGOBULL,Schmitz Cargobull S01,,ST_CURTAIN
1900000,,2008,,Брянск,https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16555916-fe3827fa/,SCHMITZ_CARGOBULL,Schmitz Cargobull SKO,,ST_REFRIGERATOR
970000,,2008,,Волгоград,https://auto.ru/trailer/used/sale/sor_iberica/polupricep/16505642-9a1faa6b/,SOR_IBERICA,SOR Iberica Полуприцеп-рефрижератор,,ST_REFRIGERATOR
750000,,2007,600000,Воронеж,https://auto.ru/trailer/used/sale/krone/sdp_27/16643064-5e6486ac/,KRONE,Krone SDP 27,,ST_CURTAIN
2400000,,2011,500000,Новороссийск,https://auto.ru/trailer/used/sale/kogel/sw24/16488906-c15445ea/,KOGEL,Kogel SW24,,ST_REFRIGERATOR
1250000,,2018,10,Самара,https://auto.ru/trailer/used/sale/hartung/polupricepi_tyajelovozi/15621216-a4023bd9/,HARTUNG,Hartung Полуприцепы-тяжеловозы,,ST_ONBOARD
330000,,2010,,Ростов-на-Дону,https://auto.ru/trailer/used/sale/maz/polupricepbortovoy/16557094-8d2e7f45/,MAZ,МАЗ Полуприцеп бортовой,,ST_ONBOARD
800000,,2004,500000,Брянск,https://auto.ru/trailer/used/sale/krone/sdp_27/16677602-9bfb02bb/,KRONE,Krone SDP 27,,ST_REFRIGERATOR
195000,,2007,,Усть-Кут,https://auto.ru/trailer/used/sale/szap/93271/16631258-60604084/,SZAP,СЗАП 93271,,ST_ONBOARD
470000,,2008,,Цимлянск,https://auto.ru/trailer/used/sale/samro/st/16595032-2c6e6ef6/,SAMRO,Samro ST,,ST_CURTAIN
850000,,2002,500000,Брянск,https://auto.ru/trailer/used/sale/lamberet/sr01/16677626-b952c5f7/,LAMBERET,Lamberet SR01,,ST_REFRIGERATOR
1250000,,2006,,Красноярск,https://auto.ru/trailer/used/sale/krone/krone/16465832-2b253c54/,KRONE,Krone Krone,,ST_REFRIGERATOR
1100000,,2013,,Новосибирск,https://auto.ru/trailer/used/sale/humbaur/big_one_type_1_2/16570686-109fc274/,HUMBAUR,Humbaur Big One Type 1/2,,ST_CURTAIN
650000,,2006,,Краснодар,https://auto.ru/trailer/used/sale/schmitz_cargobull/spr/16627122-372da9af/,SCHMITZ_CARGOBULL,Schmitz Cargobull SPR,,ST_CURTAIN_ONBOARD
1100000,,2011,300000,Махачкала,https://auto.ru/trailer/used/sale/schmitz_cargobull/scb/16536874-d48afa94/,SCHMITZ_CARGOBULL,Schmitz Cargobull SCB,,ST_CURTAIN
1330000,,2012,700,Красноярск,https://auto.ru/trailer/used/sale/krone/profi_liner/16655944-2100519f/,KRONE,Krone Profi Liner,,ST_CURTAIN_ONBOARD
