Тип ТС;Марка;Модель;Год выпуска;Цена поставщика;Регион склада;URL авто;Пробег;Тип КПП;Колесная формула;Мощность двигателя;Сидений;Спальных мест;Поставщик;Наша расчетная цена;Выгода;Рекомендация;Мин. аванс;Лизинговый платеж 0% / 48 мес.;Федеральный округ;Цена с НДС;Comment;Качество верификации;Верификация
Шторный;Schmitz Cargobull;SCS;2015;1390000;Москва;https://auto.ru/trailer/used/sale/schmitz_cargobull/scs/16409788-12595380/;500;;;;;;;1510000;120000;Горячая цена! Срочно брать!;0;44000;ЦФО;;;;
Шторный;Krone;SD;2017;1880000;Железногорск;https://auto.ru/trailer/used/sale/krone/sd/16671450-0c8c62ff/;;;;;;;;1910000;30000;;10;60000;;;;;
Рефрижератор;Schmitz Cargobull;SKO;2017;4710000;Москва;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16667008-651ca2df/;;;;;;;ClassTrucks;4250000;-460000;Цена завышена - можно поторговаться;20;151000;ЦФО;;;;
Шторный;Schmitz Cargobull;S01;2016;2000000;Москва;https://auto.ru/trailer/used/sale/schmitz_cargobull/s01/15655718-670a91ca/;223506;;;;;;АГТ-Трейдинг;1800000;-200000;Цена завышена - можно поторговаться;20;64000;ЦФО;;;;
Рефрижератор;Schmitz Cargobull;SKO;2018;4500000;Казань;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16404112-1ce36608/;200000;;;;;;ЗилантМоторс;4170000;-330000;Цена завышена - можно поторговаться;20;144000;ПФО;;;;
Рефрижератор;Krone;SD;2019;4660000;Санкт-Петербург;https://auto.ru/trailer/used/sale/krone/sd/16636338-f102992f/;130000;;;;;;Группа Милан;4180000;-480000;Цена завышена - можно поторговаться;20;149000;СЗФО;Цена с НДС;;;ok
Шторный;Schmitz Cargobull;SCB;2019;2450000;Красногорск;https://auto.ru/trailer/used/sale/schmitz_cargobull/scb/16446858-f78f3804/;50000;;;;;;Вест Групп;2000000;-450000;Цена завышена - можно поторговаться;30;78000;ЦФО;;;;
Рефрижератор;Krone;SD;2018;4700000;Санкт-Петербург;https://auto.ru/trailer/used/sale/krone/sd/16625866-53f59370/;147000;;;;;;Группа Милан;4140000;-560000;Цена завышена - можно поторговаться;20;150000;СЗФО;Цена с НДС;;;ok
Шторный;Krone;SD;2018;2450000;Санкт-Петербург;https://auto.ru/trailer/used/sale/krone/sd/16678888-45fd4876/;197500;;;;;;;2010000;-440000;Цена завышена - можно поторговаться;30;78000;СЗФО;;;;
Шторный;Meusburger;;2015;1730000;Набережные Челны;https://auto.ru/trailer/used/sale/meusburger/tentovanniy_polupricep/16679386-83963754/;600000;;;;;;M7 TRUCK Набережные Челны;1490000;-240000;Цена завышена - можно поторговаться;30;55000;ПФО;;;;
Шторный;Meusburger;;2015;1730000;Москва;https://auto.ru/trailer/used/sale/meusburger/tentovanniy_polupricep/16677732-eacf9a10/;200000;;;;;;M7 TRUCK Москва Юг;1510000;-220000;Цена завышена - можно поторговаться;20;55000;ЦФО;;;;
Шторный;Krone;SD;2017;1930000;Дубровки;https://auto.ru/trailer/used/sale/krone/sd/16569604-6aeccc50/;160000;;;;;;Триера Трак;1920000;-10000;;10;62000;ЦФО;Цена с НДС;;;ok
Рефрижератор;Schmitz Cargobull;SKO;2017;4450000;Каменск-Шахтинский;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16655060-c1ed5e9f/;120000;;;;;;Мега-Транзит;3860000;-590000;Цена завышена - можно поторговаться;30;142000;ЮФО;Цена с НДС;;;ok
Шторный;Schmitz Cargobull;SCS;2019;2650000;Смоленск;https://auto.ru/trailer/used/sale/schmitz_cargobull/scs/16478046-37ca5b32/;170000;;;;;;ГРИН ЛАЙН;1970000;-680000;Цена завышена - можно поторговаться;40;85000;ЦФО;;;;
Бортовой;Kögel;SN24;2015;1700000;Солнечногорск;https://auto.ru/trailer/used/sale/kogel/sn24/16543748-e0a35205/;577000;;;;;;ТРАНСАЛЬЯНС Москва;1180000;-520000;Цена завышена - можно поторговаться;50;54000;ЦФО;Цена с НДС;;;ok
Шторный;Schmitz Cargobull;S01;2016;2050000;Солнечногорск;https://auto.ru/trailer/used/sale/schmitz_cargobull/s01/16607398-9da2d2f9/;475000;;;;;;ТРАНСАЛЬЯНС Москва;1780000;-270000;Цена завышена - можно поторговаться;30;66000;ЦФО;Цена с НДС;;;ok
Шторный;Meusburger;;2015;1593000;Чёрная Грязь;https://auto.ru/trailer/used/sale/meusburger/tentovanniy_polupricep/16555320-d62377e0/;200000;;;;;;M7 TRUCK Москва;1510000;-83000;Цена завышена - можно поторговаться;20;51000;ЦФО;;;;
Шторный;Koluman;;2017;1650000;Люберцы;https://auto.ru/trailer/used/sale/koluman/polupricep_shtorniy/16673872-3e6697e5/;199000;;;;;;ТРАК ПЛАТФОРМА;1760000;110000;Горячая цена! Срочно брать!;0;53000;ЦФО;Цена с НДС;;;ok
Шторный;Schmitz Cargobull;SCS Mega;2015;1397777;Москва;https://auto.ru/trailer/used/sale/schmitz_cargobull/scs_mega/16617696-2f74cf40/;600000;;;;;;ТТ777;1490000;92223;Горячая цена! Срочно брать!;0;45000;ЦФО;Цена с НДС;;;ok
Шторный;Schmitz Cargobull;SCS;2016;1910000;Москва;https://auto.ru/trailer/used/sale/schmitz_cargobull/scs/16649470-3ae7c0d0/;;;;;;;Глобал Трак Сейлс Москва;1800000;-110000;Цена завышена - можно поторговаться;20;61000;ЦФО;Цена с НДС;;;ok
Шторный;Krone;SD;2016;2370000;Набережные Челны;https://auto.ru/trailer/used/sale/krone/sd/16666232-7e585b5a/;;;;;;;BS-Truck;1800000;-570000;Цена завышена - можно поторговаться;40;76000;ПФО;Цена с НДС;;;ok
Шторный;Meusburger;;2015;1730000;;https://auto.ru/trailer/used/sale/meusburger/tentovanniy_polupricep/16666628-53586356/;600000;;;;;;M7 TRUCK Уфа;1490000;-240000;Цена завышена - можно поторговаться;30;55000;;;;;
Рефрижератор;Schmitz Cargobull;SKO;2019;5401746;Смоленск;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16570604-4940f865/;250000;;;;;;ГРИН ЛАЙН;4210000;-1191746;Цена завышена - можно поторговаться;40;173000;ЦФО;Цена с НДС;;;ok
Шторный;Kögel;S24;2016;1750000;Москва;https://auto.ru/trailer/used/sale/kogel/s24/16643778-1babfcc2/;600000;;;;;;TELS Group;1780000;30000;;10;56000;ЦФО;;;;
Рефрижератор;Schmitz Cargobull;SKO;2015;3700000;Москва;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16583296-bd81adad/;420000;;;;;;Транзит-Дон Москва;3290000;-410000;Цена завышена - можно поторговаться;20;118000;ЦФО;;;;
Шторный;Тонар;9746;2015;870000;Люберцы;https://auto.ru/trailer/used/sale/tonar/9746/16625742-99f20849/;99000;;;;;;ТРАК ПЛАТФОРМА;770000;-100000;Цена завышена - можно поторговаться;20;28000;ЦФО;;;;
