Mileage,VehicleType,HP,Make,VATIncluded,CabSeats,URL,Gear,Table Names,Formula,Year,Price,Model,Supplier,CabBeds,Location,Price
1500000,Truck,410,MAN,,2,https://auto.ru/artic/used/sale/man/tga_1/16466872-f125fa1f/,MT,autoru - trucks.csv,4x2,2004,1400000,TGA,,2,Липецк,1207851.27425
327000,Truck,411,MAZ,,2,https://auto.ru/artic/used/sale/maz/6430/16360358-f5ff4a1e/,MT,autoru - trucks.csv,6x4,2012,1950000,6430,,1,Красноярск,1478002.09671
100000,Truck,390,MAZ,,2,https://auto.ru/artic/used/sale/maz/64220/16611394-eed9ff27/,MT,autoru - trucks.csv,6x4,2002,300000,64220,,1,Белгород,512295.12541
1100000,Truck,380,SCANIA,,2,https://auto.ru/artic/used/sale/scania/l/16376966-8a02fa8c/,MT,autoru - trucks.csv,4x2,2010,1800000,4-Series,,1,Петрозаводск,1984096.18272
423500,Truck,441,SCANIA,,2,https://auto.ru/artic/used/sale/scania/p_1/16454360-9fb23f36/,MT,autoru - trucks.csv,4x2,2018,4600000,P-series,Скан-Юго-Восток,1,Домодедово,5626601.46838
190000,Truck,327,MAZ,,2,https://auto.ru/artic/used/sale/maz/5432/16320934-a3610238/,MT,autoru - trucks.csv,4x2,2008,490000,5432,,1,Санкт-Петербург,555354.71717
816443,Truck,401,MERCEDES,,2,https://auto.ru/artic/used/sale/mercedes/axor_t/16635680-5418294f/,AT,autoru - trucks.csv,4x2,2011,2090000,Axor,ТРАК ПЛАТФОРМА,2,Люберцы,2360243.66307
680000,Truck,440,SCANIA,,2,https://auto.ru/artic/used/sale/scania/g/16636982-238cbbb0/,AT,autoru - trucks.csv,6x2,2017,5000000,G-series,АвтоБан,0,Москва,7521218.45731
300000,Truck,330,MAZ,,2,https://auto.ru/artic/used/sale/maz/6422/16572216-0fd1122d/,MT,autoru - trucks.csv,6x4,2001,380000,6422,,1,Ноябрьск,386380.79143
1100000,Truck,350,IVECO,,2,https://auto.ru/artic/used/sale/iveco/stralis_tractor/16276122-95125adc/,MT,autoru - trucks.csv,4x2,2006,700000,Stralis,,1,Изобильный,861087.64723
1394150,Truck,440,RENAULT,,2,https://auto.ru/artic/used/sale/renault/magnum_ae/15449426-5a545870/,MT,autoru - trucks.csv,4x2,2002,775000,Magnum,,1,Кемерово,781597.23015
1200000,Truck,428,MERCEDES,,2,https://auto.ru/artic/used/sale/mercedes/axor_t/16294572-b7617429/,MT,autoru - trucks.csv,4x2,2003,1350000,Axor,,1,Чита,1128307.08654
1111,Truck,420,VOLVO,,2,https://auto.ru/artic/used/sale/volvo/fh_tractor/16634586-64353e38/,MT,autoru - trucks.csv,4x2,2001,200284,FH,,2,Смоленск,1398351.37751
341446,Truck,401,KAMAZ,,2,https://auto.ru/artic/used/sale/kamaz/5490/16587626-e50b3f3d/,MT,autoru - trucks.csv,4x2,2015,2000000,5490,Юнион КРОНЕ Кимовск,2,Кимовск,1975310.82673
823447,Truck,435,FREIGHTLINER,,2,https://auto.ru/artic/used/sale/freightliner/columbia/16033072-43d954de/,MT,autoru - trucks.csv,6x4,2008,1900000,Columbia,,2,Уфа,1601061.454
800000,Truck,480,MAN,,2,https://auto.ru/artic/used/sale/man/33_1/15996716-b5e8d185/,MT,autoru - trucks.csv,6x4,2011,3000000,33,,1,Екатеринбург,2875064.16985
898000,Truck,400,MAN,,,https://auto.ru/artic/used/sale/man/tgs/16478786-230ab1f1/,MT,autoru - trucks.csv,,2012,1684800,TGS,,,Вологда,2375598.20867
1060000,Truck,379,SCANIA,,2,https://auto.ru/artic/used/sale/scania/g/16625338-c1fb5553/,MT,autoru - trucks.csv,,2011,2200000,G-series,,2,Киров,2507168.97782
1968560,Truck,375,FREIGHTLINER,,2,https://auto.ru/artic/used/sale/freightliner/columbia/16602218-64e64b6b/,,autoru - trucks.csv,6x4,2004,850000,Columbia,,2,Уфа,1120797.37363
1340000,Truck,440,VOLVO,,2,https://auto.ru/artic/used/sale/volvo/fh_tractor/16513390-fe62d026/,AT,autoru - trucks.csv,4x2,2011,3400000,FH,,2,Красноярск,2495395.81737
532000,Truck,469,RENAULT,,2,https://auto.ru/artic/used/sale/renault/t_series/15117454-6362b58f/,AT,autoru - trucks.csv,4x2,2014,3000000,T-Series,,2,Челябинск,2865382.59453
942000,Truck,354,MERCEDES,,,https://auto.ru/artic/used/sale/mercedes/axor_t/16622756-086d21f6/,,autoru - trucks.csv,,2012,2350000,Axor,,,Йошкар-Ола,1915333.18613
90000,Truck,428,KAMAZ,Цена с НДС,2,https://auto.ru/artic/used/sale/kamaz/65206/16631206-34cd5ab4/,MT,autoru - trucks.csv,6x4,2017,3750000,65206,ЕвропаТрак,1,Балашиха,3149439.14271
1000000,Truck,430,DAF,,2,https://auto.ru/artic/used/sale/daf/xf95/16333802-3d020ef5/,MT,autoru - trucks.csv,4x2,2004,2350000,95XF,,2,Пенза,1820009.50491
681000,Truck,434,MAZ,,2,https://auto.ru/artic/used/sale/maz/5440/16095070-85d06e1a/,MT,autoru - trucks.csv,4x2,2012,850000,5440,,2,Набережные Челны,1356135.37043
880000,Truck,360,SCANIA,,2,https://auto.ru/artic/used/sale/scania/p_1/16611472-ca38a976/,MT,autoru - trucks.csv,4x2,2013,3200000,P-series,,1,Оренбург,2831674.25472
460000,Truck,420,IVECO,,2,https://auto.ru/artic/used/sale/iveco/stralis_tractor/16527698-68de1498/,MT,autoru - trucks.csv,4x2,2017,3450000,Stralis,,2,Липецк,3517805.26958
150000,Truck,330,MAZ,,2,https://auto.ru/artic/used/sale/maz/5432/16100384-069629a0/,,autoru - trucks.csv,,2001,240000,5432,,1,Переславль-Залесский,95463.48049
1130000,Truck,450,RENAULT,,2,https://auto.ru/artic/used/sale/renault/premium_tractor/15271783-50498bf9/,MT,autoru - trucks.csv,4x2,2008,1500000,Premium,,2,Брянск,1467246.70751
360700,Truck,354,MERCEDES,,2,https://auto.ru/artic/used/sale/mercedes/axor_t/16476290-209def9d/,MT,autoru - trucks.csv,,2002,610000,Axor,,1,Москва,1089404.99987
880000,Truck,370,VOLVO,,2,https://auto.ru/artic/used/sale/volvo/fm_tractor/16392590-196a4f93/,MT,autoru - trucks.csv,4x2,2012,2500000,FM,,1,Орёл,2294361.81322
1000000,Truck,420,SCANIA,,2,https://auto.ru/artic/used/sale/scania/g/16333062-090c3ae2/,MT,autoru - trucks.csv,4x2,2004,1200000,G-series,,2,Смоленск,1559633.62009
336000,Truck,380,SCANIA,,2,https://auto.ru/artic/used/sale/scania/g/16381128-6d64d5b3/,MT,autoru - trucks.csv,4x2,2011,4000000,G-series,,2,Тула,2394360.75226
150000,Truck,430,RENAULT,,2,https://auto.ru/artic/used/sale/renault/magnum_ae/16491756-071ee2a9/,MT,autoru - trucks.csv,4x2,2000,900000,Magnum,,2,Феодосия,758732.84542
865572,Truck,410,MAN,,2,https://auto.ru/artic/used/sale/man/tga_1/16583656-8e53de5b/,MT,autoru - trucks.csv,4x2,2005,1350000,TGA,,2,Елец,1299888.08866
809267,Truck,354,MERCEDES,,2,https://auto.ru/artic/used/sale/mercedes/axor_t/16031774-16b0a309/,MT,autoru - trucks.csv,4x2,2011,1499000,Axor,GROSS AUTO,1,Москва,1665469.12384
960000,Truck,420,VOLVO,,2,https://auto.ru/artic/used/sale/volvo/fh_tractor/16432816-03f4e64c/,MT,autoru - trucks.csv,6x2,2004,1850000,FH,,2,Новосибирск,1881810.5191
1224967,Truck,400,MAZ,,2,https://auto.ru/artic/used/sale/maz/5440/16256730-62a7f3cc/,MT,autoru - trucks.csv,4x2,2007,640000,5440,,2,Пенза,710459.68992
998000,Truck,460,DAF,,2,https://auto.ru/artic/used/sale/daf/xf105/16253656-a62a449e/,AT,autoru - trucks.csv,4x2,2008,1900000,XF105,,2,Москва,2254491.94979
1050000,Truck,400,VOLVO,,2,https://auto.ru/artic/used/sale/volvo/fh_tractor/16569382-e9f6d45b/,MT,autoru - trucks.csv,4x2,2013,3000000,FH,,2,Новосибирск,2888378.08199
1382373,Truck,441,RENAULT,,,https://auto.ru/artic/used/sale/renault/magnum_ae/16482542-87235b02/,,autoru - trucks.csv,4x2,2004,779000,Magnum,,,Ярославль,930496.70137
700000,Truck,410,MAZ,,2,https://auto.ru/artic/used/sale/maz/5440/16634304-9e588223/,MT,autoru - trucks.csv,6x4,2011,610000,5440,,2,Андреевка,1549467.8566
745385,Truck,360,SCANIA,Цена с НДС,2,https://auto.ru/artic/used/sale/scania/p_1/16625426-2d2332b3/,MT,autoru - trucks.csv,4x2,2012,2050000,P-series,ББС ГРУПП,1,Мытищи,2402997.62894
1300000,Truck,441,MAN,,2,https://auto.ru/artic/used/sale/man/tga_1/16630818-746f1557/,MT,autoru - trucks.csv,4x2,2007,1750000,TGA,,2,Балаково,1682426.3962
480510,Truck,410,MAZ,,2,https://auto.ru/artic/used/sale/maz/5440/16443062-78fe171f/,MT,autoru - trucks.csv,4x2,2013,960000,5440,,2,Екатеринбург,1511101.91955
1000000,Truck,408,MERCEDES,,2,https://auto.ru/artic/used/sale/mercedes/actros_t/16453968-dad64ea8/,AT,autoru - trucks.csv,4x2,2009,1700000,Actros,,1,Тверь,1883690.34555
245000,Truck,250,MAZ,,2,https://auto.ru/artic/used/sale/maz/5432/16448400-27cd105b/,MT,autoru - trucks.csv,4x2,2006,450000,5432,,1,Красноярск,363902.30989
350000,Truck,330,MAZ,,2,https://auto.ru/artic/used/sale/maz/5440/16572510-f0f442f4/,MT,autoru - trucks.csv,4x2,2011,550000,5440,,2,Зеленодольск,968341.21474
215000,Truck,428,KAMAZ,,2,https://auto.ru/artic/used/sale/kamaz/65206/16463074-4164df16/,MT,autoru - trucks.csv,6x4,2015,2550000,65206,Юнион КРОНЕ Кимовск,1,Кимовск,2165355.80973
