Comment;Site;Benefit;Make;URL;Year;Supplier;VehicleType;Price 1;Price;Mileage;VATIncluded
;drom.ru;29;KAMAZ;https://spec.drom.ru/stavropol/truck/truck-tractor/kamaz-65116-6020-48-a5-78023606.html;2019;;Truck;4800498;3714504;;
;drom.ru;44;KAMAZ;https://spec.drom.ru/kemerovo/truck/truck-tractor/prodam-sedelnyj-tjagach-kamaz-65116-84847545.html;2016;;Truck;2662669;1840000;;
;drom.ru;14;SCANIA;https://spec.drom.ru/moskva/truck/truck-tractor/scania-p-440-2016-g-86823045.html;2016;;Truck;4800481;4200000;;
;drom.ru;73;KAMAZ;https://spec.drom.ru/ekaterinburg/truck/truck-tractor/sedelnyj-tjagach-kamaz-6h6-86652224.html;2017;;Truck;3986932;2300000;;
;drom.ru;26;KAMAZ;https://spec.drom.ru/stavropol/truck/truck-tractor/kamaz-53504-6030-50-78022575.html;2019;;Truck;4978053;3943488;;
;drom.ru;48;KAMAZ;https://spec.drom.ru/belovo/truck/truck-tractor/tjagach-sedelnyj-kamaz-5490-014-87-s5-84432808.html;2018;Балтийский лизинг;Truck;4206160;2830000;;
;drom.ru;20;KAMAZ;https://spec.drom.ru/perm/truck/truck-tractor/sedelnyj-tjagach-kamaz-5490-s5-2015-g-v-85405284.html;2015;;Truck;1870492;1550000;;
;drom.ru;58;KAMAZ;https://spec.drom.ru/stavropol/truck/truck-tractor/sedelnyj-tjagach-kamaz-5490-86151419.html;2017;;Truck;3162823;1990000;;
;drom.ru;20;KAMAZ;https://spec.drom.ru/naberezhnye-chelny/truck/truck-tractor/kamaz-5490-neo-86628562.html;2018;М7 ТРАК;Truck;4206160;3485000;;
;drom.ru;44;KAMAZ;https://spec.drom.ru/miass/truck/truck-tractor/sedelnyj-tjagach-kamaz-43118-6h6-spalnik-vezdehod-2017-83450919.html;2017;;Truck;3986932;2750000;;
;drom.ru;40;MAZ;https://spec.drom.ru/krasnoyarsk/truck/truck-tractor/gruzovoj-sedelnyj-tjagach-maz-probeg-121902-km-85936864.html;2017;;Truck;2521811;1800000;;
;drom.ru;20;KAMAZ;https://spec.drom.ru/novyi-urengoi/truck/truck-tractor/prodaetsja-sedelnyj-tjagach-kamaz-vezdehod-6-6-65225-84041364.html;2017;;Truck;3986932;3300000;;
;drom.ru;25;KAMAZ;https://spec.drom.ru/stavropol/truck/truck-tractor/kamaz-65116-6913-48-a5-78023800.html;2019;;Truck;4800498;3816024;;
;drom.ru;21;SCANIA;https://spec.drom.ru/moskva/truck/truck-tractor/scania-p440la-4x2-hna-p-series-2017-86931299.html;2017;;Truck;5823387;4800000;;
;drom.ru;38;MAZ;https://spec.drom.ru/irkutsk/truck/truck-tractor/maz-sedelnyj-tjagach-srochno-86602564.html;2018;;Truck;3467353;2500000;;
;drom.ru;29;KAMAZ;https://spec.drom.ru/ekaterinburg/truck/truck-tractor/sedelnyj-tjagach-kamaz-5490-s5-74588676.html;2018;;Truck;4206160;3260000;;
;drom.ru;28;MAN;https://spec.drom.ru/khabarovsk/truck/truck-tractor/sedelnyj-tjagach-man-tgs-40.480-6x6-bbs-ww-85520135.html;2015;ДМИ;Truck;4362121;3400000;;
;drom.ru;17;KAMAZ;https://spec.drom.ru/naberezhnye-chelny/truck/truck-tractor/kamaz-5490-neo-86905930.html;2018;М7 ТРАК;Truck;4206160;3575000;;
;drom.ru;47;KAMAZ;https://spec.drom.ru/ust-kut/truck/truck-tractor/kamaz-sedelnyj-tjagach-6h6-300-l-s-g-ust-kut-84704480.html;2017;;Truck;3986932;2700000;;
;drom.ru;34;KAMAZ;https://spec.drom.ru/naberezhnye-chelny/truck/truck-tractor/sedelnyj-tjagach-vezdehod-kamaz-43118-76234350.html;2019;;Truck;4978053;3698000;;
;drom.ru;24;KAMAZ;https://spec.drom.ru/ufa/truck/truck-tractor/sedelnyj-tjagach-kamaz-5490-s5-s-probegom-169000-km-84654626.html;2018;ГК РусБизнесАвто;Truck;4206160;3390000;;
;drom.ru;16;KAMAZ;https://spec.drom.ru/naberezhnye-chelny/truck/truck-tractor/kamaz-5490-s-probegom-85756103.html;2018;;Truck;4206160;3620000;;
;drom.ru;20;KAMAZ;https://spec.drom.ru/moskva/truck/truck-tractor/kamaz-5490-neo-86199431.html;2017;М7 ТРАК;Truck;3162823;2619000;;
;drom.ru;17;KAMAZ;https://spec.drom.ru/ekaterinburg/truck/truck-tractor/sedelnyj-tjagach-kamaz-5490-s5-2015-g-v-81377655.html;2015;Global Truck Sales;Truck;1870492;1590000;;
;drom.ru;45;KAMAZ;https://spec.drom.ru/miass/truck/truck-tractor/sedelnyj-tjagach-kamaz-43118-6h6-spalnik-vezdehod-2017-84312409.html;2017;;Truck;3986932;2749500;;
;drom.ru;46;MAN;https://spec.drom.ru/moskva/truck/truck-tractor/foton-auman-86440091.html;2017;;Truck;5045977;3439000;;
;drom.ru;25;KAMAZ;https://spec.drom.ru/stavropol/truck/truck-tractor/kamaz-53504-6031-50-78022669.html;2019;;Truck;4978053;3975072;;
;drom.ru;24;MAZ;https://spec.drom.ru/krasnodar/truck/truck-tractor/tjagach-sedelnyj-maz-5440c9-520-031-b-u-2018-g-127600-km-87031260.html;2018;TECHNIKA;Truck;3085797;2480000;;
