Тип ТС,Марка,Модель,Год выпуска,Цена поставщика,Регион склада,URL авто,Пробег,Тип КПП,Колесная формула,Мощность двигателя,Сидений,Спальных мест,Поставщик,Наша расчетная цена,Выгода,Рекомендация,Мин. аванс,Лизинговый платеж 0% / 48 мес.,Федеральный округ,Цена с НДС,Comment,Качество верификации,Верификация
Тягач,МАЗ,6425,2016,1150000,Усть-Кут,https://auto.ru/artic/used/sale/maz/6425/16704148-3fbcde4c/,127000.0,MT,6x6,420.0,2.0,1.0,,2760000,1610000,Горячая цена! Срочно брать!,0,,СФО,,Продам полноприводный МАЗ 6425Х9  год выпуска 2016  V образный двигатель ЯМЗ 7511  мощьность 420 л с   евро 2  дизель  головки сплошные  колесная формула 6Х6 двухскатная 12 00R20  коробка передач ЯМЗ 239 механическая 9 ст  Топливный бак 600 л  ССУ под шкворень 3 5   кабина проварена усилена   утеплена  спальник  фен  ПЖД  Тормозная система с АБС  Пробег 127000 км   Новая турбина  чешка   Не эксплуатировался с сентября 2019г  Находится в г  Усть Кут  Готов к продаже  Осмотр по договоренности,"0,5363",unclear
Тягач,КамАЗ,65116,2020,3450000,Оренбург,https://spec.drom.ru/orenburg/truck/truck-tractor/prodaetsja-sedelnyj-tjagach-kamaz-65116-7010-48-79651954.html,,,6x4,,,,,5040000,1590000,Горячая цена! Срочно брать!,0,110000.0,УФО,,,"0,37883",unclear
Тягач,КамАЗ,5490-NEO,2020,3150000,Ростов-на-Дону,https://spec.drom.ru/rostov-na-donu/truck/truck-tractor/kamaz-5490-022-87-tjagach-neo-58270521.html,,,4x2,,,,,4730000,1580000,Горячая цена! Срочно брать!,0,101000.0,ЮФО,,,"0,45759",unclear
Тягач,IVECO,Stralis,2018,4900000,Тверь,https://auto.ru/artic/used/sale/iveco/stralis_tractor/16637930-1a8659a2/,109000.0,MT,6x4,460.0,2.0,2.0,,6480000,1580000,Горячая цена! Срочно брать!,0,157000.0,ЦФО,,Состояние нового автомобиля Машина на физ лице  Возможна продажа с НДС Все вопросы по телефону  Возможен обмен на легковой автомобиль,"0,50983",unclear
Тягач,КамАЗ,44108 Евро-2,2020,3600000,Набережные Челны,https://spec.drom.ru/naberezhnye-chelny/truck/truck-tractor/kamaz-44108-evro-2-novyj-bez-probega-80986024.html,,,6x6,,,,,5180000,1580000,Горячая цена! Срочно брать!,0,115000.0,ПФО,,,"0,37211",unclear
Тягач,КамАЗ,44108,2020,3620000,Набережные Челны,https://spec.drom.ru/naberezhnye-chelny/truck/truck-tractor/kamaz-53504-tjagach-tnvd-jazda-40845150.html,,,6x6,,,,АВАНТАЖ,5180000,1560000,Горячая цена! Срочно брать!,0,116000.0,ПФО,,,"0,37211",unclear
Тягач,КамАЗ,44108,2020,3620001,Набережные Челны,https://spec.drom.ru/naberezhnye-chelny/truck/truck-tractor/kamaz-44108-53504-novyj-53544157.html,,,6x6,,,,АВАНТАЖ,5180000,1559999,Горячая цена! Срочно брать!,0,116000.0,ПФО,,,"0,37211",unclear
Тягач,КамАЗ,44108,2020,3650000,Набережные Челны,https://spec.drom.ru/naberezhnye-chelny/truck/truck-tractor/kamaz-44108-vezdehod-s-dvs-cummins-340-61135257.html,,,6x6,,,,,5180000,1530000,Горячая цена! Срочно брать!,0,117000.0,ПФО,,,"0,37421",unclear
Тягач,КамАЗ,43118,2020,3650000,Набережные Челны,https://spec.drom.ru/naberezhnye-chelny/truck/truck-tractor/kamaz-43118-tjagach-krysha-maxi-novyj-63281705.html,,,6x6,,,,АВАНТАЖ,5180000,1530000,Горячая цена! Срочно брать!,0,117000.0,ПФО,,,"0,37421",unclear
Тягач,КамАЗ,53504,2020,3670000,Набережные Челны,https://spec.drom.ru/naberezhnye-chelny/truck/truck-tractor/kamaz-53504-tjagach-vezdehod-72176662.html,,,6x6,,,,АВАНТАЖ,5180000,1510000,Горячая цена! Срочно брать!,0,117000.0,ПФО,,,"0,37421",unclear
