confidence,result,user,date,url
1.0,no_vat,leshchenko,2020-04-11 17:14:42.339084+00:00,https://auto.ru/artic/used/sale/kamaz/5490/16324556-2edcd62a/
1.0,ok,leshchenko,2020-04-15 17:50:39.232000+00:00,https://auto.ru/artic/used/sale/kamaz/5490/16328078-7eecae73/
1.0,ok,leshchenko,2020-04-11 17:13:40.832066+00:00,https://auto.ru/artic/used/sale/kamaz/5490/16329414-a8192cd2/
1.0,ok,leshchenko,2020-04-11 17:14:54.679447+00:00,https://auto.ru/artic/used/sale/kamaz/5490/16332816-7e4207f9/
0.36413,unclear,auto,2020-10-26 10:50:53.148070+00:00,https://auto.ru/artic/used/sale/kamaz/5490/16339302-dba218ac/
0.36413,unclear,auto,2020-10-26 10:51:25.465540+00:00,https://auto.ru/artic/used/sale/kamaz/5490/16339302-dba218ac/
0.36413,unclear,auto,2020-10-26 10:51:29.060684+00:00,https://auto.ru/artic/used/sale/kamaz/5490/16339302-dba218ac/
0.36413,unclear,auto,2020-10-26 10:50:45.091547+00:00,https://auto.ru/artic/used/sale/kamaz/5490/16339302-dba218ac/
1.0,ok,leshchenko,2020-04-11 17:15:05.576325+00:00,https://auto.ru/artic/used/sale/kamaz/5490/16340534-fa4ba675/
1.0,unclear,leshchenko,2020-04-11 17:13:40.141359+00:00,https://auto.ru/artic/used/sale/kamaz/5490/16343544-cb8fd34e/
1.0,unclear,leshchenko,2020-04-11 17:14:09.197150+00:00,https://auto.ru/artic/used/sale/kamaz/5490/16362266-e5334493/
1.0,no_vat,leshchenko,2020-04-11 17:14:47.885677+00:00,https://auto.ru/artic/used/sale/kamaz/5490/16362420-ab9803d2/
1.0,ok,leshchenko,2020-04-11 17:14:33.324896+00:00,https://auto.ru/artic/used/sale/kamaz/5490/16364302-908d263d/
1.0,unclear,leshchenko,2020-04-11 17:14:01.314550+00:00,https://auto.ru/artic/used/sale/kamaz/5490/16368470-08b1c7ac/
1.0,ok,leshchenko,2020-04-11 17:14:38.012407+00:00,https://auto.ru/artic/used/sale/kamaz/5490/16372926-1ba3723a/
1.0,leasing,leshchenko,2020-04-15 17:39:57.821000+00:00,https://auto.ru/artic/used/sale/kamaz/5490/16373152-0410c47f/
1.0,ok,leshchenko,2020-04-15 17:44:19.999000+00:00,https://auto.ru/artic/used/sale/kamaz/5490/16377468-9571609e/
1.0,unclear,leshchenko,2020-04-15 18:01:24.001000+00:00,https://auto.ru/artic/used/sale/kamaz/5490/16383446-a7220840/
1.0,unclear,leshchenko,2020-04-11 17:15:01.322219+00:00,https://auto.ru/artic/used/sale/kamaz/5490/16386254-9ce20405/
1.0,ok,leshchenko,2020-04-11 17:13:13.063996+00:00,https://auto.ru/artic/used/sale/kamaz/5490/16387014-915d0be0/
1.0,unclear,leshchenko,2020-05-18 16:20:57.249000+00:00,https://auto.ru/artic/used/sale/kamaz/5490/16388370-0ece07ec/
