Model;URL;Year;Price;Mileage;VehicleType;Make;Supplier;VATIncluded;Location
S01;https://auto.ru/trailer/used/sale/schmitz_cargobull/s01/16725372-3a486b33/;2008;790000;299000;Curtainsider;SCHMITZ CARGOBULL;ТРАК ПЛАТФОРМА;;Люберцы
SKO;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16645544-c5b193d1/;2016;4350000;210000;Refrigerator;SCHMITZ CARGOBULL;АГТ-Трейдинг;;Москва
Krone;https://auto.ru/trailer/used/sale/krone/krone/16660154-342154e3/;2015;4000000;;Refrigerator;KRONE;;;Канск
SDC 27;https://auto.ru/trailer/used/sale/krone/sdc_27/16709702-91a3a207/;2007;780000;100;Curtainsider;KRONE;;;Курск
S01;https://auto.ru/trailer/used/sale/schmitz_cargobull/s01/16567492-30b52e92/;2003;400000;;Curtainsider;SCHMITZ CARGOBULL;;;Екатеринбург
SKO;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16466570-2f34e1ba/;2011;2000000;450000;Refrigerator;SCHMITZ CARGOBULL;СТТ-АВТО;;Домодедово
S24;https://auto.ru/trailer/used/sale/kogel/s24/16695328-f9bf99e9/;2018;2250000;130000;Curtainsider;KOGEL;АГТ-Трейдинг;;Москва
SKO;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16724172-0c784446/;2017;3901000;450000;Refrigerator;SCHMITZ CARGOBULL;M7 TRUCK Набережные Челны;;Набережные Челны
SCS;https://auto.ru/trailer/used/sale/schmitz_cargobull/scs/16715269-19e42239/;2012;1450000;530000;Curtainsider;SCHMITZ CARGOBULL;;;Москва
SKO;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16690474-ca506e44/;2011;2950000;444444;Refrigerator;SCHMITZ CARGOBULL;Вираж;;Санкт-Петербург
SKO;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16709562-93ee700e/;2010;4450000;1150000;Refrigerator;SCHMITZ CARGOBULL;;;Санкт-Петербург
SKO;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16711733-ba64b51c/;2010;2180000;800000;Refrigerator;SCHMITZ CARGOBULL;;;Челябинск
Profi Liner;https://auto.ru/trailer/used/sale/krone/profi_liner/16712011-d71b6241/;2012;1290000;700;Curtainsider;KRONE;;;Красноярск
SKO;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16714489-b078ebf7/;2015;4199777;600000;Refrigerator;SCHMITZ CARGOBULL;ТТ777;;Москва
SD;https://auto.ru/trailer/used/sale/krone/sd/16671216-f2f21e7c/;2017;2178000;50000;Curtainsider;KRONE;M7 TRUCK Москва;;Чёрная Грязь
S24;https://auto.ru/trailer/used/sale/kogel/s24/16629642-a659cc01/;2017;1900000;140000;Platform;KOGEL;;;Курск
SD;https://auto.ru/trailer/used/sale/krone/sd/16628084-a3726d84/;2012;1190000;;Curtainsider;KRONE;Global Truck Sales Екатеринбург;;Екатеринбург
S01;https://auto.ru/trailer/used/sale/schmitz_cargobull/s01/16526042-94e93a06/;2006;650000;;Curtainsider;SCHMITZ CARGOBULL;;;Дюртюли
SKO;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16570610-beacf274/;2018;4500000;390000;Refrigerator;SCHMITZ CARGOBULL;ГРИН ЛАЙН;;Смоленск
