price,vat_included,year,mileage,location,url,make,name,supplier,gear,hp,formula,cab
1704000,Цена с НДС,2017,212206,Балашиха,https://auto.ru/artic/used/sale/kamaz/65116/16636858-0d7814f6/,KAMAZ,КамАЗ 65116,Европлан Москва,механическая,298,6x4,2-х местная с 1 спальным
4850000,Цена с НДС,2017,285000,Москва,https://auto.ru/artic/used/sale/scania/p_1/16575762-3d5e28fe/,SCANIA,Scania P-series,БорнТракСервис,механическая,440,4x2,2-х местная с 1 спальным
1500000,,2004,667644,Чёрная Грязь,https://auto.ru/artic/used/sale/mercedes/actros_t/16542490-3e8f62b1/,MERCEDES,Mercedes-Benz Actros,M7 TRUCK Москва,автоматическая,408,4x2,2-х местная с 2 спальными
700000,,2004,300000,Большая Мурта,https://auto.ru/artic/used/sale/maz/64220/16637126-44dcc3df/,MAZ,МАЗ 64220,,механическая,400,6x4,2-х местная с 1 спальным
1350000,,2004,1066800,Белгород,https://auto.ru/artic/used/sale/renault/magnum_ae/16336786-65a979cb/,RENAULT,Renault Magnum,GOODTRUCKS,механическая,440,4x2,2-х местная с 1 спальным
1150000,,2001,1680000,Белгород,https://auto.ru/artic/used/sale/renault/magnum_ae/16336760-d8063898/,RENAULT,Renault Magnum,GOODTRUCKS,механическая,400,4x2,2-х местная с 2 спальными
1070000,,2001,1800000,Екатеринбург,https://auto.ru/artic/used/sale/volvo/fh_tractor/16638078-4b7e14a0/,VOLVO,Volvo FH,,механическая,420,4x2,
1319000,,2007,1269720,Москва,https://auto.ru/artic/used/sale/volvo/fm_tractor/16618388-81942930/,VOLVO,Volvo FM,GROSS AUTO,автоматическая,400,4x2,2-х местная с 1 спальным
1750000,,2007,291054,Москва,https://auto.ru/artic/used/sale/man/tga_1/16242418-9f3fc965/,MAN,MAN TGA,GROSS AUTO,механическая,430,6x2,2-х местная без спального
1250000,,2008,1461339,Москва,https://auto.ru/artic/used/sale/man/tga_1/16214416-19e2de29/,MAN,MAN TGA,GROSS AUTO,механическая,390,4x2,2-х местная с 1 спальным
1850000,,2008,740815,Москва,https://auto.ru/artic/used/sale/man/tga_1/16247442-2f8800ab/,MAN,MAN TGA,GROSS AUTO,механическая,390,6x4,2-х местная с 1 спальным
290000,,2005,220000,Пушкино,https://auto.ru/artic/used/sale/maz/5432/16626766-e2366398/,MAZ,МАЗ 5432,ДСТ-М,,330,4x2,
5275000,,2018,124977,Новониколаевский,https://auto.ru/artic/used/sale/man/tgx/16576660-3ea82169/,MAN,MAN TGX,M7 TRUCK Казань,автоматическая,440,4x2,2-х местная с 2 спальными
3450000,Цена с НДС,2018,200047,Чёрная Грязь,https://auto.ru/artic/used/sale/kamaz/5490_neo/16636018-b7f694b7/,KAMAZ,КамАЗ 5490 NEO,M7 TRUCK Москва,автоматическая,401,4x2,2-х местная с 1 спальным
7200000,,2019,234444,Екатеринбург,https://auto.ru/artic/used/sale/volvo/fh_tractor/16637048-530c7330/,VOLVO,Volvo FH,ClassTrucks,автоматическая,460,4x2,
3335000,Цена с НДС,2017,177193,Люберцы,https://auto.ru/artic/used/sale/kamaz/65206/16591844-c01bee38/,KAMAZ,КамАЗ 65206,PRO АВТО,механическая,428,6x4,2-х местная с 1 спальным
6480000,Цена с НДС,2016,372148,Москва,https://auto.ru/artic/used/sale/scania/p_1/16635624-d6526b9d/,SCANIA,Scania P-series,ГРУЗ СОЮЗ,механическая,400,6x4,2-х местная с 1 спальным
850000,,2002,694888,Северодвинск,https://auto.ru/artic/used/sale/volvo/vnl_tractor/16637182-42955c6e/,VOLVO,Volvo VNL,,,12,белый,2-х местная с 2 спальными
300000,,2003,300000,Урюпинск,https://auto.ru/artic/used/sale/maz/5432/16638200-f40a704a/,MAZ,МАЗ 5432,,механическая,330,4x2,3-х местная с 1 спальным
540000,Цена с НДС,2001,1248696,Москва,https://auto.ru/artic/used/sale/renault/premium_tractor/16617980-c2052eba/,RENAULT,Renault Premium,Трак-Сток,механическая,412,4x2,2-х местная с 1 спальным
940000,,2005,1401724,Москва,https://auto.ru/artic/used/sale/scania/p_1/16583594-e46b2725/,SCANIA,Scania P-series,Лаки Логистик,механическая,340,4x2,2-х местная с 1 спальным
520000,,2008,177000,Пушкино,https://auto.ru/artic/used/sale/maz/6422/16625100-8c386cf7/,MAZ,МАЗ 6422,ДСТ-М,,327,6x4,
1450000,,2008,1053198,Люберцы,https://auto.ru/artic/used/sale/man/tga_1/16527958-0a849310/,MAN,MAN TGA,PRO АВТО,механическая,480,4x2,2-х местная с 2 спальными
968000,,2005,1227533,Люберцы,https://auto.ru/artic/used/sale/man/tga_1/16557632-98c5abfb/,MAN,MAN TGA,PRO АВТО,механическая,351,4x2,2-х местная с 1 спальным
990000,,2007,1621794,Люберцы,https://auto.ru/artic/used/sale/man/tga_1/16595854-0cd8c71e/,MAN,MAN TGA,PRO АВТО,механическая,390,4x2,2-х местная с 1 спальным
6508000,,2017,395786,Чёрная Грязь,https://auto.ru/artic/used/sale/scania/r_1/16636674-96fa8a84/,SCANIA,Scania R-Series,M7 TRUCK Москва,автоматическая,400,4x2,
4150000,,2019,150000,Ольша,https://auto.ru/artic/used/sale/kamaz/5490_neo/16637666-a69a9e09/,KAMAZ,КамАЗ 5490 NEO,Бест Транс,механическая,401,4x2,
3520000,,2018,112337,Москва,https://auto.ru/artic/used/sale/kamaz/5490_neo/16574774-09de3cc1/,KAMAZ,КамАЗ 5490 NEO,КАМЦЕНТР КамАЗ,автоматическая,401,4x2,2-х местная с 1 спальным
3530000,,2018,102343,Москва,https://auto.ru/artic/used/sale/kamaz/5490_neo/16563344-8d3c1b80/,KAMAZ,КамАЗ 5490 NEO,КАМЦЕНТР КамАЗ,автоматическая,401,4x2,2-х местная с 1 спальным
4445000,Цена с НДС,2018,74000,Уфа,https://auto.ru/artic/used/sale/kamaz/65206/16638414-da75db5c/,KAMAZ,КамАЗ 65206,Бизнес Авто,механическая,428,6x4,2-х местная с 1 спальным
1620000,,2007,1196663,Люберцы,https://auto.ru/artic/used/sale/daf/xf95/16611266-3dbee46a/,DAF,DAF 95XF,PRO АВТО,механическая,430,4x2,2-х местная с 2 спальными
1440000,,2007,499150,Люберцы,https://auto.ru/artic/used/sale/man/tga_1/16545846-7c83f705/,MAN,MAN TGA,PRO АВТО,механическая,480,4x2,2-х местная с 2 спальными
