Model,URL,Year,Price,Mileage,VehicleType,Make,Supplier,VATIncluded,Location,Price,confidence
SN24,https://auto.ru/trailer/used/sale/kogel/sn24/16642254-0adc6f60/,2012,1100000,100000,Curtainsider,KOGEL,,,Борисоглебск,1105552.06282,249276.79725
SCS,https://auto.ru/trailer/used/sale/schmitz_cargobull/scs/16643392-4d8c9771/,2013,1400000,,Curtainsider,SCHMITZ CARGOBULL,BS-Truck,,,1166723.82026,256277.85929
SKO,https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16571252-4164a881/,2007,1499000,,Refrigerator,SCHMITZ CARGOBULL,GROSS AUTO,Цена с НДС,Москва,1755120.90366,370812.17028
SKO,https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16306286-b148dff6/,2002,700000,500000,Refrigerator,SCHMITZ CARGOBULL,,,Чита,930376.25508,649475.84054
SN24,https://auto.ru/trailer/used/sale/kogel/sn24/16573646-c84747e2/,2011,990000,200000,Curtainsider,KOGEL,ТРАК ПЛАТФОРМА,,Люберцы,1002378.59552,268353.15344
ZKO,https://auto.ru/trailer/used/sale/schmitz_cargobull/zko/16133020-b8902011/,2004,300000,750000,Refrigerator,SCHMITZ CARGOBULL,,,Почеп,1569414.19026,436033.56357
SN24,https://auto.ru/trailer/used/sale/kogel/sn24/16619740-5acfac77/,2012,1100000,780000,Curtainsider,KOGEL,,,Гусь-Хрустальный,1057873.79508,240584.18714
SCS,https://auto.ru/trailer/used/sale/schmitz_cargobull/scs/16380788-3433c74e/,2016,2050000,550000,Platform,SCHMITZ CARGOBULL,TELS Group,,Хоругвино,1757438.29179,211509.05466
SKO,https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16303556-f11d2478/,2016,3799999,333333,Refrigerator,SCHMITZ CARGOBULL,Вираж,,Санкт-Петербург,3747993.58938,323909.09249
SPR,https://auto.ru/trailer/used/sale/schmitz_cargobull/spr/15991236-4ced652e/,2011,950000,895000,Platform,SCHMITZ CARGOBULL,РосТрансАвто Брянск,,Брянск,940178.85587,304027.65184
SKO,https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16645480-1c21353e/,2017,4700000,110000,Refrigerator,SCHMITZ CARGOBULL,АГТ-Трейдинг,,Москва,3867456.33585,413434.25668
SDP 27,https://auto.ru/trailer/used/sale/krone/sdp_27/16582388-a8696e85/,2006,580000,200000,Curtainsider,KRONE,ТРАК ПЛАТФОРМА,,Люберцы,698784.83225,177044.11916
,https://auto.ru/trailer/used/sale/meusburger/tentovanniy_polupricep/16461988-d7ffe9f9/,2014,1600000,,Curtainsider,MEUSBURGER,Global Truck Sales Екатеринбург,,Екатеринбург,1426938.82476,250666.85541
SDP 27,https://auto.ru/trailer/used/sale/krone/sdp_27/16624104-64240d59/,2005,580000,,Curtainsider,KRONE,,,Барнаул,655077.10342,170706.7571
SD,https://auto.ru/trailer/used/sale/krone/sd/16647948-d3f3bbde/,2018,2200000,111000,Curtainsider,KRONE,Группа Милан,Цена с НДС,Санкт-Петербург,2020956.52286,262635.67166
9746,https://auto.ru/trailer/used/sale/tonar/9746/16644296-c70ac7a3/,2008,385000,,Platform,TONAR,,,Улан-Удэ,649403.40654,281255.08264
SDP 27,https://auto.ru/trailer/used/sale/krone/sdp_27/16562084-41bc4ad5/,2005,845000,300000,Curtainsider,KRONE,M7 TRUCK Москва,,Чёрная Грязь,659205.31104,174411.17378
S01,https://auto.ru/trailer/used/sale/schmitz_cargobull/s01/16230854-65d360be/,2005,800000,,Curtainsider,SCHMITZ CARGOBULL,,,Калуга,656557.53163,171301.58242
SN24,https://auto.ru/trailer/used/sale/kogel/sn24/16648206-e813121a/,2008,750000,,Platform,KOGEL,,,Краснодар,729825.26784,197643.68356
SKO,https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16643834-a52739fb/,2012,3000000,450000,Refrigerator,SCHMITZ CARGOBULL,СТТ-АВТО,,Домодедово,2244834.24146,697876.21404
SKO,https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16645510-d020498f/,2010,2900000,560000,Refrigerator,SCHMITZ CARGOBULL,АГТ-Трейдинг,,Москва,2061735.3311,474367.28662
SD,https://auto.ru/trailer/used/sale/krone/sd/16621288-b71d5433/,2011,2500000,,Refrigerator,KRONE,Глобал Трак Сейлс Москва,,Москва,2047975.37757,728309.54239
9746,https://auto.ru/trailer/used/sale/tonar/9746/16610406-91c2e79e/,2005,250000,499000,Platform,TONAR,ТРАК ПЛАТФОРМА,,Люберцы,613805.82606,208408.31279
SN24,https://auto.ru/trailer/used/sale/kogel/sn24/16564578-54d783b0/,2007,750000,,Platform,KOGEL,,,Красноярск,706903.42736,189786.94981
Kassbohrer,https://auto.ru/trailer/used/sale/kaessbohrer/kaessbohrer/16643278-2e639d76/,2011,820000,860000,Curtainsider,KAESSBOHRER,,,Москва и Московская область,1082420.76704,253596.81919
S01,https://auto.ru/trailer/used/sale/schmitz_cargobull/s01/16628662-2ede605e/,2000,450000,600000,Curtainsider,SCHMITZ CARGOBULL,,,Тейково,530343.61306,178212.68291
SKO,https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16587312-36574937/,2015,3700000,450000,Refrigerator,SCHMITZ CARGOBULL,Транзит-Дон Краснодар,,Краснодар,3287811.71004,300401.67969
,https://auto.ru/trailer/used/sale/meusburger/tentovanniy_polupricep/16568416-2722f517/,2014,1530000,,Curtainsider,MEUSBURGER,,,Тюмень,1426938.82476,250666.85541
SD,https://auto.ru/trailer/used/sale/krone/sd/16645250-08a47df6/,2018,2300000,,Curtainsider,KRONE,BS-Truck,,,2009308.7871,272968.2608
SKO,https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16623430-5cadf7eb/,2017,4450000,120000,Refrigerator,SCHMITZ CARGOBULL,Мега-Транзит,Цена с НДС,Каменск-Шахтинский,3856763.00252,381315.86144
SDP 27,https://auto.ru/trailer/used/sale/krone/sdp_27/16632540-cb856d1c/,2007,810000,700000,Curtainsider,KRONE,,,Курск,710380.71287,182568.95994
SD,https://auto.ru/trailer/used/sale/krone/sd/16583200-6e88b039/,2010,1980000,,Refrigerator,KRONE,,,Можга,2062347.55862,677708.70155
SN24,https://auto.ru/trailer/used/sale/kogel/sn24/16648230-6cadc70b/,2007,590000,,Platform,KOGEL,PRO АВТО,,Люберцы,706903.42736,189786.94981
SCB,https://auto.ru/trailer/used/sale/schmitz_cargobull/scb/16622374-8ce0fe88/,2017,3850000,260000,Refrigerator,SCHMITZ CARGOBULL,Триера Трак,Цена с НДС,Дубровки,3875055.05014,374919.07734
SKO,https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16645544-c5b193d1/,2016,4350000,210000,Refrigerator,SCHMITZ CARGOBULL,АГТ-Трейдинг,,Москва,3770520.41477,351121.73142
SD,https://auto.ru/trailer/used/sale/krone/sd/16638774-840b93d1/,2016,2500000,,Curtainsider,KRONE,Глобал Трак Сейлс Москва,Цена с НДС,Москва,1802479.19582,197861.72335
SKO,https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16503882-e9be116c/,2011,1990000,299000,Refrigerator,SCHMITZ CARGOBULL,ТРАК ПЛАТФОРМА,,Люберцы,1791745.77162,825235.2955
SDP 27,https://auto.ru/trailer/used/sale/krone/sdp_27/16629452-73c320b7/,2012,1450000,,Curtainsider,KRONE,BS-Truck,,Набережные Челны,1090932.31355,248413.2828
SD,https://auto.ru/trailer/used/sale/krone/sd/16523362-3419ac34/,2009,900000,,Curtainsider,KRONE,,,Санкт-Петербург,841912.76268,235938.25782
SKO,https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16645524-96f05101/,2008,2700000,690000,Refrigerator,SCHMITZ CARGOBULL,АГТ-Трейдинг,,Москва,1798638.40501,414971.92061
S01,https://auto.ru/trailer/used/sale/schmitz_cargobull/s01/16567492-30b52e92/,2003,400000,,Curtainsider,SCHMITZ CARGOBULL,,,Екатеринбург,532277.67672,178409.40142
SKO,https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16466570-2f34e1ba/,2011,2300000,450000,Refrigerator,SCHMITZ CARGOBULL,СТТ-АВТО,,Домодедово,2015799.96483,619542.11181
