ProfSupplier;Gear;HP;Formula;VehicleType;URL;Price;Year;Mileage;Location;Supplier;Make;Model;CabSeats;CabBeds
True;;;;Curtainsider;https://auto.ru/trailer/used/sale/schmitz_cargobull/s01/15983714-6652181a/;1880000;2016;268002;Москва;АГТ-Трейдинг;SCHMITZ CARGOBULL;S01;;
True;;;;Curtainsider;https://auto.ru/trailer/used/sale/krone/sd/16167522-c3aa220e/;1700000;2016;;Шушары;Группа Милан;KRONE;SD;;
False;;;;Curtainsider;https://auto.ru/trailer/used/sale/schmitz_cargobull/scs/16347118-50802d71/;1820000;2017;;Тула;;SCHMITZ CARGOBULL;SCS;;
True;;;;Refrigerator;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16362262-1fb09b30/;4315000;2017;;Москва;ClassTrucks;SCHMITZ CARGOBULL;SKO;;
True;;;;Curtainsider;https://auto.ru/trailer/used/sale/schmitz_cargobull/s01/15655718-670a91ca/;2000000;2016;223506;Москва;АГТ-Трейдинг;SCHMITZ CARGOBULL;S01;;
True;;;;Refrigerator;https://auto.ru/trailer/used/sale/krone/sd/16240500-e10b309f/;3790000;2017;;Шушары;Группа Милан;KRONE;SD;;
True;;;;Curtainsider;https://auto.ru/trailer/used/sale/krone/profi_liner/16170410-261884cc/;1750000;2016;;Набережные Челны;M7 TRUCK Набережные Челны;KRONE;Profi Liner;;
True;;;;Curtainsider;https://auto.ru/trailer/used/sale/krone/sd/16351530-a4367882/;1950000;2016;232838;Санкт-Петербург;Восток;KRONE;SD;;
True;;;;Curtainsider;https://auto.ru/trailer/used/sale/krone/sd/16251920-60cbefa8/;1810000;2015;;Кимовск;Юнион КРОНЕ Кимовск;KRONE;SD;;
True;;;;Curtainsider;https://auto.ru/trailer/used/sale/krone/sd/15901936-49b15fab/;1815000;2016;;Москва;GROSS AUTO;KRONE;SD;;
True;;;;Curtainsider;https://auto.ru/trailer/used/sale/schmitz_cargobull/s01/16205836-19789d4c/;2100000;2017;1000;Санкт-Петербург;Вираж;SCHMITZ CARGOBULL;S01;;
False;;;;Curtainsider;https://auto.ru/trailer/used/sale/schmitz_cargobull/scb/16310040-e44e7693/;1900000;2017;56535;Москва;;SCHMITZ CARGOBULL;SCB;;
True;;;;Refrigerator;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16043524-6ade5e7e/;3540000;2016;530000;Смоленск;ГРИН ЛАЙН;SCHMITZ CARGOBULL;SKO;;
True;;;;Refrigerator;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16345062-b6efbfa6/;3750000;2017;250000;Домодедово;СТТ-АВТО;SCHMITZ CARGOBULL;SKO;;
True;;;;Refrigerator;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16054478-c05cf6ec/;3550000;2016;400000;Смоленск;ООО 'РЕД СТАР' МАЗ Смоленск;SCHMITZ CARGOBULL;SKO;;
True;;;;Curtainsider;https://auto.ru/trailer/used/sale/wielton/ns/16283982-045a94d0/;1990000;2017;106000;Дубровки;Триера Трак;WIELTON;NS;;
True;;;;Curtainsider;https://auto.ru/trailer/used/sale/schmitz_cargobull/s01/16360976-92f6a571/;2100000;2018;111111;Санкт-Петербург;Вираж;SCHMITZ CARGOBULL;S01;;
True;;;;Refrigerator;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16384556-83db2fab/;4315000;2017;;Тосно;ClassTrucks;SCHMITZ CARGOBULL;SKO;;
True;;;;Curtainsider;https://auto.ru/trailer/used/sale/kogel/sn24/16209798-acf97e31/;1790000;2017;100000;Дубровки;Триера Трак;KOGEL;SN24;;
True;;;;Refrigerator;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16310168-52daa91e/;3990000;2017;;Румянцево;СГМ - ГРУПП;SCHMITZ CARGOBULL;SKO;;
False;;;;Curtainsider;https://auto.ru/trailer/used/sale/kogel/s24/16181458-ebe453d0/;1800000;2017;;Тула;;KOGEL;S24;;
True;;;;Curtainsider;https://auto.ru/trailer/used/sale/krone/sd/16192972-c68db036/;1790000;2016;;Зеленоград;Global Truck Sales Москва Север;KRONE;SD;;
True;;;;Refrigerator;https://auto.ru/trailer/used/sale/krone/sd/15856294-cd9917e4/;3950000;2016;;Новосибирск;Еврофура;KRONE;SD;;
