Тип ТС;Марка;Модель;Год выпуска;Цена поставщика;Регион склада;URL авто;Пробег;Тип КПП;Колесная формула;Мощность двигателя;Сидений;Спальных мест;Поставщик;Наша расчетная цена;Выгода;Рекомендация;Мин. аванс;Лизинговый платеж 0% / 48 мес.;Comment;Качество верификации;Верификация;Федеральный округ;Цена с НДС
Шторный;Krone;Profi Liner;2017;2000000;Санкт-Петербург;https://auto.ru/trailer/used/sale/krone/profi_liner/16596116-261c0cbb/;100000;;;;;;M7 TRUCK Санкт-Петербург;1930000;-70000;;10;64000;;;ok;СЗФО;Цена с НДС
Шторный;Krone;SD;2016;1890000;Москва;https://auto.ru/trailer/used/sale/krone/sd/16585344-aae9c816/;50000;;;;;;;1800000;-90000;Цена завышена - можно поторговаться;20;60000;;;;ЦФО;
Рефрижератор;Schmitz Cargobull;SKO;2006;1650000;Пушкино;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16567584-bac0d897/;500000;;;;;;"ООО ""РТС""";1750000;100000;Горячая цена! Срочно брать!;0;;;;ok;;Цена с НДС
Рефрижератор;Schmitz Cargobull;SKO;2010;2300000;Кимовск;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16456238-f14198c4/;;;;;;;Юнион КРОНЕ Кимовск;2070000;-230000;Цена завышена - можно поторговаться;20;;;;;ЦФО;
Бортовой;Schmitz Cargobull;SPR;2012;950000;Москва;https://auto.ru/trailer/used/sale/schmitz_cargobull/spr/16582694-3becb119/;550000;;;;;;;980000;30000;;10;;;;;ЦФО;
Бортовой;Schmitz Cargobull;SPR;2007;870000;Курск;https://auto.ru/trailer/used/sale/schmitz_cargobull/spr/16594408-84ad59c8/;100;;;;;;;720000;-150000;Цена завышена - можно поторговаться;30;;;;;ЦФО;
Шторный;Krone;SD;2010;900000;Москва;https://auto.ru/trailer/used/sale/krone/sd/16591328-fd11fe06/;777;;;;;;;940000;40000;;10;;;;;ЦФО;
Рефрижератор;Schmitz Cargobull;SKO;2008;1900000;Брянск;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16555916-fe3827fa/;;;;;;;;1800000;-100000;Цена завышена - можно поторговаться;20;;;;;ЦФО;
Шторный;Schmitz Cargobull;S01;2005;599000;Ярославль;https://auto.ru/trailer/used/sale/schmitz_cargobull/s01/16597170-37b57701/;1000;;;;;;КОМПАНИЯ АВТОМОБИЛИЯ;660000;61000;Горячая цена! Срочно брать!;0;;;;;ЦФО;
Бортовой;Schmitz Cargobull;S01;2007;790000;Москва;https://auto.ru/trailer/used/sale/schmitz_cargobull/s01/16452278-cc963d51/;740245;;;;;;АГТ-Трейдинг;710000;-80000;Цена завышена - можно поторговаться;20;;;;;ЦФО;
