Тип ТС;Марка;Модель;Год выпуска;Цена поставщика;Регион склада;URL авто;Пробег;Тип КПП;Колесная формула;Мощность двигателя;Сидений;Спальных мест;Поставщик;Наша расчетная цена;Выгода;Рекомендация;Мин. аванс;Лизинговый платеж 0% / 48 мес.;Федеральный округ;Цена с НДС;Comment;Качество верификации;Верификация
Бортовой;Schmitz Cargobull;SPR;2008;780000;Москва;https://auto.ru/trailer/used/sale/schmitz_cargobull/spr/16557908-a6679f52/;;;;;;;GROSS AUTO;730000;-50000;Цена завышена - можно поторговаться;20;;ЦФО;;;;
Шторный;Krone;SD;2012;1350000;Дубровки;https://auto.ru/trailer/used/sale/krone/sd/16714647-a8169337/;620000;;;;;;Триера Трак;1090000;-260000;Цена завышена - можно поторговаться;30;;ЦФО;Цена с НДС;;;ok
Рефрижератор;Schmitz Cargobull;SKO;2015;3650000;Москва;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16707782-c53d3a6a/;500000;;;;;;КОМДОРАВТО Foton Москва;3290000;-360000;Цена завышена - можно поторговаться;20;117000;ЦФО;Цена с НДС;;;ok
Шторный;Тонар;9746;2014;790000;Москва;https://auto.ru/trailer/used/sale/tonar/9746/16712273-6ebbdc34/;150000;;;;;;;680000;-110000;Цена завышена - можно поторговаться;30;;ЦФО;;;;
Шторный;Krone;Profi Liner;2008;939900;Краснодар;https://auto.ru/trailer/used/sale/krone/profi_liner/16664309-5045969c/;;;;;;;Транзит-Дон Краснодар;740000;-199900;Цена завышена - можно поторговаться;40;;ЮФО;Цена с НДС;;;ok
Шторный;Krone;SDP 27;2006;690000;Люберцы;https://auto.ru/trailer/used/sale/krone/sdp_27/16710382-03a92087/;;;;;;;PRO АВТО;700000;10000;;10;;ЦФО;Цена с НДС;;;ok
Рефрижератор;Krone;SD;2010;1650000;Южно-Сахалинск;https://auto.ru/trailer/used/sale/krone/sd/16478690-39d3de26/;300000;;;;;;Европлан Краснодар;2120000;470000;Горячая цена! Срочно брать!;0;;ДВФО;;;;
Шторный;Krone;SD;2011;1300000;Дубровки;https://auto.ru/trailer/used/sale/krone/sd/16660654-3d28c8c7/;680000;;;;;;Триера Трак;1090000;-210000;Цена завышена - можно поторговаться;30;;ЦФО;Цена с НДС;;;ok
Шторный;Krone;SD;2008;770000;Люберцы;https://auto.ru/trailer/used/sale/krone/sd/16710604-867edd0f/;299000;;;;;;ТРАК ПЛАТФОРМА;740000;-30000;;10;;ЦФО;;;;
Бортовой;Kögel;SN24;2009;850000;Дорогобуж;https://auto.ru/trailer/used/sale/kogel/sn24/16331576-888f8bff/;100;;;;;;;840000;-10000;;10;;;;;;
