Тип ТС;Марка;Модель;Год выпуска;Цена поставщика;Регион склада;URL авто;Пробег;Тип КПП;Колесная формула;Мощность двигателя;Сидений;Спальных мест;Поставщик;Наша расчетная цена;Выгода;Рекомендация;Мин. аванс;Лизинговый платеж 0% / 48 мес.;Comment;Качество верификации;Верификация;Федеральный округ
Тягач;Scania;4-Series;2007;650000;Санкт-Петербург;https://auto.ru/artic/used/sale/scania/l/16574078-544f3022/;600000;MT;4x2;340;2;1;;1360000;710000;Горячая цена! Срочно брать!;0;;;;;СЗФО
Тягач;DAF;XF105;2013;2850000;Брянск;https://auto.ru/artic/used/sale/daf/xf105/16588632-0100d901/;756000;MT;4x2;408;2;2;;2820000;-30000;;10;;;;;ЦФО
Тягач;Scania;G-series;2012;2700000;Берёзовский;https://auto.ru/artic/used/sale/scania/g/16569814-33e0e7c3/;1009500;MT;4x2;400;2;2;Березовский привоз;2760000;60000;;10;;;;;
Тягач;DAF;95XF;2001;1350000;Севастополь;https://auto.ru/artic/used/sale/daf/xf95/15999028-a8458716/;967000;MT;4x2;480;2;2;;1500000;150000;Горячая цена! Срочно брать!;0;;;;;
Тягач;МАЗ;5440;2005;1100000;Краснодар;https://auto.ru/artic/used/sale/maz/5440/16573080-7683ffe1/;929858;MT;4x2;410;2;2;;580000;-520000;Цена завышена - можно поторговаться;100;;;;;ЮФО
Тягач;IVECO;Stralis;2011;1300000;Котельники;https://auto.ru/artic/used/sale/iveco/stralis_tractor/16582272-858115a2/;541943;MT;4x2;420;2;1;Форсаж;1520000;220000;Горячая цена! Срочно брать!;0;;;;;
Тягач;DAF;95XF;2007;1760000;Брянск;https://auto.ru/artic/used/sale/daf/xf95/16582656-225d5efc/;1250000;MT;4x2;430;2;2;;2030000;270000;Горячая цена! Срочно брать!;0;;;;;ЦФО
Тягач;DAF;XF105;2008;1720000;Москва;https://auto.ru/artic/used/sale/daf/xf105/16355896-33e410b5/;1006333;MT;4x2;462;2;2;ГРУЗ СОЮЗ;2150000;430000;Горячая цена! Срочно брать!;0;;;;;ЦФО
Тягач;MAN;TGS;2013;3970000;Всеволожск;https://auto.ru/artic/used/sale/man/tgs/16488048-b18db004/;480622;MT;6x4;441;2;2;;3540000;-430000;Цена завышена - можно поторговаться;20;;;;;СЗФО
Тягач;Volvo;FH;2017;5250000;Смоленск;https://auto.ru/artic/used/sale/volvo/fh_tractor/16441884-d3ff9e34/;552000;AT;4x2;469;2;2;"ООО ""РЕД СТАР"" МАЗ Смоленск";4980000;-270000;Цена завышена - можно поторговаться;20;168000;;;;ЦФО
Тягач;Scania;P-series;2014;3666000;Санкт-Петербург;https://auto.ru/artic/used/sale/scania/p_1/16513360-018f0fce/;961091;MT;6x4;440;2;1;Global Truck Sales Санкт-Петербург;4320000;654000;Горячая цена! Срочно брать!;0;;;;;СЗФО
Тягач;IVECO;Stralis;2013;2400000;Белгород;https://auto.ru/artic/used/sale/iveco/stralis_tractor/16337458-d12ebb3a/;641000;MT;4x2;460;2;2;GOODTRUCKS;2250000;-150000;Цена завышена - можно поторговаться;20;;;;;ЦФО
Тягач;DAF;XF105;2015;3500000;Москва;https://auto.ru/artic/used/sale/daf/xf105/16158346-72388877/;535000;MT;4x2;460;2;2;БорнТракСервис;3390000;-110000;;10;112000;;;;ЦФО
Тягач;MAN;TGA;2000;1270000;Омск;https://auto.ru/artic/used/sale/man/tga_1/16212778-f84210b3/;700000;MT;4x2;410;2;2;;770000;-500000;Цена завышена - можно поторговаться;70;;;;;СФО
Тягач;МАЗ;5432;2008;345000;Ярославль;https://auto.ru/artic/used/sale/maz/5432/16436516-fbac44b1/;450000;MT;4x2;327;2;1;;560000;215000;Горячая цена! Срочно брать!;0;;;;;ЦФО
Тягач;Renault;Magnum;2012;2750000;Екатеринбург;https://auto.ru/artic/used/sale/renault/magnum_ae/16563254-bec35f1a/;1338487;AT;4x2;530;2;2;Global Truck Sales Екатеринбург;2490000;-260000;Цена завышена - можно поторговаться;20;;;;;УФО
Тягач;Mercedes-Benz;Actros;2010;2100000;Люберцы;https://auto.ru/artic/used/sale/mercedes/actros_t/16356902-e454c953/;949852;AT;4x2;408;2;2;ТРАК ПЛАТФОРМА;2270000;170000;Горячая цена! Срочно брать!;0;;;;;ЦФО
Тягач;Scania;R-Series;2014;3599777;Москва;https://auto.ru/artic/used/sale/scania/r_1/16201076-82d8a42a/;657826;AT;4x2;440;2;2;ТТ777;3730000;130223;;10;;;;;ЦФО
Тягач;Volvo;FM;2008;2500000;Москва;https://auto.ru/artic/used/sale/volvo/fm_tractor/16354982-ac886f4b/;900000;MT;6x2;400;2;2;;2280000;-220000;Цена завышена - можно поторговаться;20;;;;;ЦФО
