Тип ТС;Марка;Модель;Год выпуска;Цена поставщика;Регион склада;URL авто;Пробег;Тип КПП;Колесная формула;Мощность двигателя;Сидений;Спальных мест;Поставщик;Наша расчетная цена;Выгода;Рекомендация;Мин. аванс;Лизинговый платеж 0% / 48 мес.;Качество верификации;Верификация;Федеральный округ
Шторный;Schmitz Cargobull;S01;2016;1500000;Ногинск;https://auto.ru/trailer/used/sale/schmitz_cargobull/s01/16470240-43b24143/;400000;;;;;;Роллингер Логистика ООО;1780000;280000;Горячая цена! Срочно брать!;0;48000;0,46218;ok;ЦФО
Шторный;Krone;SD;2015;1650000;Химки;https://auto.ru/trailer/used/sale/krone/sd/16092348-9da16234/;;;;;;;КРОНЕ СканБалт;1550000;-100000;Цена завышена - можно поторговаться;20;53000;;;ЦФО
Шторный;Schmitz Cargobull;S01;2016;1880000;Москва;https://auto.ru/trailer/used/sale/schmitz_cargobull/s01/15983714-6652181a/;268002;;;;;;АГТ-Трейдинг;1800000;-80000;;10;60000;;;ЦФО
Рефрижератор;Schmitz Cargobull;SKO;2016;3810000;Москва;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16535088-ca9ace9a/;;;;;;;ClassTrucks;3750000;-60000;;10;122000;;;ЦФО
Шторный;Schmitz Cargobull;SCS;2015;1450000;Москва;https://auto.ru/trailer/used/sale/schmitz_cargobull/scs/16409788-12595380/;500;;;;;;;1510000;60000;;10;46000;;;ЦФО
Рефрижератор;Krone;SD;2017;3790000;Санкт-Петербург;https://auto.ru/trailer/used/sale/krone/sd/16240500-e10b309f/;;;;;;;Группа Милан;4110000;320000;Горячая цена! Срочно брать!;0;121000;;;СЗФО
Шторный;Schmitz Cargobull;S01;2016;2000000;Москва;https://auto.ru/trailer/used/sale/schmitz_cargobull/s01/15655718-670a91ca/;223506;;;;;;АГТ-Трейдинг;1800000;-200000;Цена завышена - можно поторговаться;20;64000;;;ЦФО
Рефрижератор;Schmitz Cargobull;SKO;2018;4300000;Казань;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16404112-1ce36608/;200000;;;;;;ЗилантМоторс;4170000;-130000;;10;138000;;;ПФО
Шторный;Kässbohrer;Maxima XS Domestic;2017;1600000;Санкт-Петербург;https://auto.ru/trailer/used/sale/kaessbohrer/msxima_xs_domestic/16301926-c15ce7a3/;200000;;;;;;;1830000;230000;Горячая цена! Срочно брать!;0;51000;1;ok;СЗФО
Бортовой;Kässbohrer;Maxima XS Domestic;2017;1240000;Берёзовский;https://auto.ru/trailer/used/sale/kaessbohrer/msxima_xs_domestic/16541050-80aedf9a/;55000;;;;;;MAN Центр Березовский;1830000;590000;Горячая цена! Срочно брать!;0;40000;1;ok;
